27, 125, pa2-debug-c-output1.txt
209.98, 204.07, 209.31
408.35, 402.61, 190.95
100.25, 100.89, 99.92
101.97, 100.34, 224.90
103.69, 99.78, 349.89
101.48, 225.89, 100.46
103.21, 225.32, 225.44
104.93, 224.77, 350.43
102.72, 350.88, 100.99
104.45, 350.32, 225.98
106.18, 349.77, 350.97
225.22, 99.66, 98.19
226.95, 99.11, 223.18
228.67, 98.55, 348.16
226.47, 224.65, 98.73
228.18, 224.10, 223.72
229.91, 223.54, 348.70
227.70, 349.65, 99.27
229.43, 349.08, 224.25
231.15, 348.54, 349.24
350.21, 98.43, 96.46
351.93, 97.87, 221.44
353.66, 97.31, 346.43
351.44, 223.42, 97.00
353.17, 222.87, 221.98
354.89, 222.31, 346.97
352.69, 348.41, 97.54
354.42, 347.86, 222.52
356.14, 347.30, 347.52
101.55, 100.19, 226.31
100.08, 102.13, 351.29
98.60, 104.09, 476.26
105.17, 225.12, 224.41
103.69, 227.07, 349.38
102.21, 229.02, 474.36
108.77, 350.06, 222.50
107.31, 352.00, 347.47
105.83, 353.95, 472.45
226.49, 96.60, 227.84
225.01, 98.54, 352.82
223.54, 100.50, 477.79
230.10, 221.53, 225.93
228.63, 223.47, 350.91
227.16, 225.43, 475.89
233.72, 346.46, 224.03
232.25, 348.41, 349.01
230.77, 350.35, 473.98
351.43, 93.00, 229.37
349.95, 94.96, 354.34
348.48, 96.90, 479.32
355.04, 217.94, 227.46
353.57, 219.88, 352.44
352.09, 221.83, 477.42
358.66, 342.88, 225.56
357.18, 344.82, 350.54
355.71, 346.77, 475.51
99.49, 99.84, 351.87
101.24, 99.26, 476.85
103.00, 98.67, 601.84
96.20, 224.79, 352.50
97.96, 224.20, 477.48
99.71, 223.62, 602.47
92.89, 349.75, 353.13
94.66, 349.16, 478.11
96.42, 348.58, 603.10
224.43, 103.14, 350.13
226.19, 102.55, 475.11
227.94, 101.97, 600.09
221.14, 228.10, 350.75
222.90, 227.51, 475.74
224.65, 226.92, 600.73
217.84, 353.05, 351.38
219.60, 352.46, 476.37
221.36, 351.88, 601.35
349.37, 106.45, 348.38
351.13, 105.86, 473.37
352.89, 105.27, 598.35
346.08, 231.40, 349.01
347.84, 230.81, 473.99
349.60, 230.23, 598.99
342.79, 356.35, 349.65
344.54, 355.76, 474.62
346.31, 355.18, 599.61
101.60, 100.78, 476.34
99.98, 100.01, 601.33
98.38, 99.26, 726.32
102.61, 225.77, 477.11
101.01, 225.02, 602.10
99.40, 224.25, 727.09
103.64, 350.76, 477.88
102.03, 350.01, 602.87
100.42, 349.24, 727.86
226.59, 99.75, 477.94
224.98, 98.99, 602.93
223.37, 98.23, 727.92
227.60, 224.75, 478.72
226.00, 223.98, 603.71
224.38, 223.22, 728.69
228.62, 349.73, 479.48
227.01, 348.98, 604.48
225.41, 348.22, 729.47
351.57, 98.72, 479.54
349.96, 97.96, 604.54
348.35, 97.21, 729.52
352.59, 223.72, 480.32
350.98, 222.95, 605.30
349.38, 222.20, 730.29
353.60, 348.71, 481.08
352.00, 347.95, 606.07
350.39, 347.19, 731.06
101.52, 98.13, 601.09
98.38, 100.12, 726.04
95.25, 102.12, 850.98
104.15, 223.08, 599.16
101.02, 225.08, 724.11
